

 NEW RUN
init_scanpose;45.701;53.651;
FilterTomatoQueue;56.437;57.02;
validate_pose;57.021;64.551;
pregrasp_tomato;66.34;80.151;
grasp_tomato;80.151;82.442;
post_grasp_retreat;82.649;84.301;
drop_tomato;84.301;95.434;
validate_pose;95.643;105.851;
pregrasp_tomato;107.687;120.951;
grasp_tomato;120.951;124.015;
post_grasp_retreat;124.223;126.066;
drop_tomato;126.066;137.899;
validate_pose;138.101;149.551;
pregrasp_tomato;151.398;163.501;
grasp_tomato;163.501;165.701;
post_grasp_retreat;165.901;167.435;
drop_tomato;167.435;172.222;
init_scanpose;172.424;179.48;
init_scanpose;192.501;201.015;
init_scanpose;201.015;201.151;
FilterTomatoQueue;204.751;205.296;
validate_pose;205.301;212.001;
pregrasp_tomato;213.863;218.251;
grasp_tomato;218.251;220.69;
post_grasp_retreat;220.897;222.435;
drop_tomato;222.435;233.718;
validate_pose;233.923;245.551;
pregrasp_tomato;247.326;259.251;
grasp_tomato;259.251;261.682;
post_grasp_retreat;261.888;263.363;
drop_tomato;263.363;271.391;
validate_pose;271.595;278.951;
validate_pose;278.951;290.228;
pregrasp_tomato;292.091;296.238;
grasp_tomato;296.238;299.335;
post_grasp_retreat;299.543;301.049;
drop_tomato;301.049;305.519;
drop_tomato;305.519;321.037;
init_scanpose;321.241;327.361;
FilterTomatoQueue;329.097;329.609;
init_scanpose;341.516;349.684;
FilterTomatoQueue;351.913;352.513;
validate_pose;352.515;359.418;
pregrasp_tomato;361.218;372.702;
grasp_tomato;372.703;374.99;
post_grasp_retreat;375.195;376.635;
drop_tomato;376.635;386.826;
validate_pose;387.033;399.592;
pregrasp_tomato;401.401;413.251;
pregrasp_tomato;413.251;424.4;
grasp_tomato;424.4;426.751;
post_grasp_retreat;426.951;428.275;
drop_tomato;428.275;439.22;
init_scanpose;439.423;450.269;
init_scanpose;450.269;450.432;
FilterTomatoQueue;452.094;452.644;
validate_pose;452.651;468.018;
pregrasp_tomato;469.884;483.574;
pregrasp_tomato;483.574;494.034;
grasp_tomato;494.034;496.693;
post_grasp_retreat;496.901;498.5;
drop_tomato;498.5;501.958;
init_scanpose;516.062;524.578;
init_scanpose;524.578;524.701;
FilterTomatoQueue;526.314;526.863;
validate_pose;526.874;537.151;
pregrasp_tomato;539.082;554.001;
grasp_tomato;554.001;556.501;
post_grasp_retreat;556.703;558.1;
drop_tomato;558.1;568.624;
init_scanpose;568.829;578.619;
init_scanpose;592.2;600.651;
init_scanpose;600.651;600.938;
FilterTomatoQueue;602.551;603.093;
validate_pose;603.097;608.051;
pregrasp_tomato;609.881;613.133;
grasp_tomato;613.133;615.45;
post_grasp_retreat;615.651;617.485;
drop_tomato;617.485;628.225;
init_scanpose;628.429;639.292;
init_scanpose;639.292;639.432;
init_scanpose;658.465;666.64;
init_scanpose;667.651;667.798;
init_scanpose;741.787;749.898;
FilterTomatoQueue;752.773;753.308;
validate_pose;753.316;759.417;
pregrasp_tomato;761.25;774.16;
grasp_tomato;774.16;777.294;
post_grasp_retreat;777.5;779.436;
drop_tomato;779.436;792.701;
validate_pose;792.901;804.884;
pregrasp_tomato;806.751;820.219;
grasp_tomato;820.219;822.551;
post_grasp_retreat;822.751;824.251;
drop_tomato;824.251;833.244;
validate_pose;833.45;845.414;
pregrasp_tomato;847.244;856.171;
pregrasp_tomato;856.171;859.827;
grasp_tomato;859.827;862.105;
post_grasp_retreat;862.315;863.721;
drop_tomato;863.722;870.738;
init_scanpose;870.943;876.961;
init_scanpose;893.461;902.021;
init_scanpose;902.021;902.151;
init_scanpose;903.151;903.279;
init_scanpose;915.737;923.834;
FilterTomatoQueue;926.688;927.221;
validate_pose;927.239;938.426;
pregrasp_tomato;940.222;946.19;
grasp_tomato;946.19;948.904;
post_grasp_retreat;949.114;950.565;
drop_tomato;950.565;960.256;
validate_pose;1009.28;1025.25;
pregrasp_tomato;1027.03;1039.22;
grasp_tomato;1039.22;1041.95;
post_grasp_retreat;1042.16;1043.55;
drop_tomato;1043.55;1056.16;
init_scanpose;1056.37;1067.44;
init_scanpose;1067.44;1067.55;
FilterTomatoQueue;1069.26;1069.8;
init_scanpose;1082.33;1090.92;
init_scanpose;1090.92;1091.03;
