-2.62629,-2.10796,0.855196,0.0392543,,0.002684246795324
-2.41896,-2.10905,0.855816,0.0396614,,0.0463443
-2.21116,-2.10983,0.855612,0.044005,,0.0302931
-2.62657,-2.10817,0.854654,0.0403748,,
-2.41878,-2.10916,0.855316,0.0379597,,
-2.21063,-2.1105,0.855184,0.0403785,,
-2.62258,-2.09434,0.854203,0.0434735,,
-2.41652,-2.09506,0.853277,0.0360163,,
-2.20634,-2.09513,0.854945,0.0399422,,
-2.62269,-2.09428,0.854715,0.044789,,
-2.414,-2.09397,0.854695,0.0416208,,
-2.20646,-2.09515,0.855321,0.0398944,,
-1.1651,-2.09631,0.856303,0.0440185,,
-1.17281,-2.10886,0.85581,0.0405369,,
-0.755208,-2.11117,0.855836,0.0382359,,
-0.339244,-2.11524,0.855072,0.0431943,,
-1.17277,-2.10773,0.856048,0.0378457,,
-0.756009,-2.11164,0.855384,0.0397312,,
-0.340406,-2.11448,0.855812,0.0394331,,
0.290215,-2.1044,0.854804,0.0395741,,
0.0824484,-2.10165,0.85542,0.0392399,,
-0.334492,-2.099,0.855548,0.0405134,,
-0.750966,-2.09822,0.85473,0.0391402,,
0.289859,-2.10351,0.855898,0.0392345,,
0.0826946,-2.10261,0.855907,0.0398181,,
-0.333724,-2.09967,0.85575,0.0396268,,
-0.749726,-2.09746,0.855767,0.0463443,,
0.0864654,-2.09392,0.855265,0.0302931,,
0.294243,-2.09605,0.85564,0.0428493,,
0.919683,-2.09869,0.855011,0.0398166,,
1.1287,-2.10028,0.855404,0.0405494,,
1.54485,-2.10292,0.854495,0.0407605,,
0.0864475,-2.09352,0.855157,0.0402854,,
0.293927,-2.09587,0.855232,0.0397222,,
0.919524,-2.0991,0.855436,0.0400227,,
1.12875,-2.09979,0.855183,0.0390152,,
1.54493,-2.10292,0.854929,0.0410389,,
1.12639,-2.09717,0.855272,0.0334695,,
1.54237,-2.09983,0.855441,0.0396253,,
1.95959,-2.10208,0.854963,0.0387669,,
1.1267,-2.0976,0.85509,0.0394799,,
1.54239,-2.10007,0.855106,0.0394927,,
1.95956,-2.10203,0.855117,0.0396373,,
