,,
,,
 NEW RUN,,
look_for_obj,99.728,102.751
validate_tomato,109.201,110.859
validate_tomato,142.851,144.483
validate_tomato,184.751,186.351
look_for_obj,222.715,223.751
look_for_obj,245.439,249.079
validate_tomato,311.351,312.901
validate_tomato,362.296,363.891
validate_tomato,399.951,401.501
validate_tomato,434.422,436.089
look_for_obj,482.428,483.451
look_for_obj,503.313,505.513
validate_tomato,511.951,513.495
look_for_obj,543.901,545.52
look_for_obj,566.227,567.881
validate_tomato,576.389,578.083
look_for_obj,628.769,629.801
look_for_obj,650.551,652.116
validate_tomato,663.641,665.261
look_for_obj,701.101,702.118
look_for_obj,726.651,727.651
look_for_obj,727.772,728.812
look_for_obj,800.17,803.148
validate_tomato,809.927,811.498
validate_tomato,853.15,854.828
look_for_obj,900.095,901.72
look_for_obj,924.848,926.44
validate_tomato,934.16,935.888
look_for_obj,1001.11,1002.14
look_for_obj,1023.64,1026.51
validate_tomato,1038.13,1039.68
validate_tomato,1091.92,1093.5
validate_tomato,1168.68,1170.31
look_for_obj,1210.95,1211.99
look_for_obj,1232.95,1235.09
validate_tomato,1242.79,1244.48
validate_tomato,1280.04,1281.59
look_for_obj,1315.64,1316.65
look_for_obj,1337.51,1340.36
validate_tomato,1350.47,1352.1
validate_tomato,1399.22,1400.88
validate_tomato,1441.68,1443.29
look_for_obj,1486.96,1488
look_for_obj,1507.84,1509.46
validate_tomato,1519.37,1521.03
look_for_obj,1552.38,1553.41
