,,
,,
 NEW RUN,,
init_scanpose,91.801,99.727
FilterTomatoQueue,102.751,103.309
validate_pose,103.313,109.201
pregrasp_tomato,111.068,116.151
grasp_tomato,116.151,118.482
post_grasp_retreat,118.686,120.361
drop_tomato,120.361,132.117
validate_pose,132.325,142.851
pregrasp_tomato,144.694,157.361
grasp_tomato,157.361,160.701
post_grasp_retreat,160.901,163.301
drop_tomato,163.301,173.509
validate_pose,173.714,184.751
pregrasp_tomato,186.551,198.421
grasp_tomato,198.421,201.358
post_grasp_retreat,201.564,203.239
drop_tomato,203.239,212.437
init_scanpose,212.644,222.715
init_scanpose,237.351,245.439
FilterTomatoQueue,249.084,249.635
validate_pose,249.639,261.701
validate_pose,261.701,278.244
validate_pose,278.245,295.124
validate_pose,295.124,311.351
pregrasp_tomato,313.101,328.251
pregrasp_tomato,328.251,343.551
grasp_tomato,343.551,345.93
post_grasp_retreat,346.139,347.761
drop_tomato,347.761,351.913
validate_pose,352.127,362.296
pregrasp_tomato,364.101,371.849
grasp_tomato,371.849,374.891
post_grasp_retreat,375.093,376.969
drop_tomato,376.969,386.449
validate_pose,386.651,399.951
pregrasp_tomato,401.715,413.351
grasp_tomato,413.351,415.651
post_grasp_retreat,415.851,417.498
drop_tomato,417.498,422.539
validate_pose,422.744,434.422
pregrasp_tomato,436.298,445.251
grasp_tomato,445.251,447.72
post_grasp_retreat,447.924,449.416
drop_tomato,449.42,459.76
init_scanpose,459.969,482.282
init_scanpose,482.282,482.428
init_scanpose,495.287,503.313
FilterTomatoQueue,505.516,506.068
validate_pose,506.079,511.951
pregrasp_tomato,513.701,518.67
grasp_tomato,518.67,520.84
post_grasp_retreat,521.046,522.648
drop_tomato,522.648,533.763
init_scanpose,533.968,543.901
FilterTomatoQueue,545.523,546.119
init_scanpose,558.236,566.227
FilterTomatoQueue,567.883,568.419
validate_pose,568.421,576.389
pregrasp_tomato,578.287,597.476
grasp_tomato,597.476,599.875
post_grasp_retreat,600.076,601.415
drop_tomato,601.415,617.916
init_scanpose,618.126,628.534
init_scanpose,628.534,628.769
init_scanpose,641.901,650.42
init_scanpose,650.42,650.551
FilterTomatoQueue,652.116,652.717
validate_pose,652.719,663.64
pregrasp_tomato,665.463,674.285
pregrasp_tomato,674.285,683.215
